RevolvingUtilizationOfUnsecuredLines,age,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,NumberOfDependents,Default
0.061590311,0.3183144337635482,0.642264519,0.016388,0.05432301963717735,0.06034971546845532,0.0013708190879448746,false
0.51958007,0.4264588139522271,0.160787992,0.021316,0.07468328152085972,0.023445050715930293,0.11736280583670526,false
0.9999999,0.39586459605325974,0.003194888,0.0964,0.03834118699415147,0.031678286274962685,0.06710944292634359,true
0.763870535,0.5694721832438157,0.940846001,0.0121,0.16037365164741596,0.10045255311725554,0.00940646703002974,true
0.007101896,0.8225099417485775,52.5,4.0e-6,0.16190019592554603,0.01005385303770715,0.004648172556941233,true
0.030975453,0.6725022637603564,45.0,0.0,0.13613279076458776,0.008305637031009883,0.0023731866147147394,true
0.001087358,0.26569973646969464,0.000249938,0.016,0.1543025436954557,0.018666443721761027,0.016684247326917267,false
0.334479122,0.38952302016206886,0.187130435,0.022996,0.17127680611370427,0.01942541037795793,0.013019501300659032,false
0.171318271,0.6166487481334332,0.356023459,0.0416,0.16742669047056327,0.1789782204387272,0.07160909607042151,false
0.0950448,0.891927173807131,0.031737194,0.00718,0.1819761674523057,0.035677356196712896,0.08224204359377277,true
0.174354884,0.5389999442291731,0.346685083,0.01158,0.2798075627818879,0.017186791807867696,0.020878754587972403,true
0.584717608,0.24223497915907896,0.129642134,0.00592,0.06497117970260494,0.03493415967129172,0.04810593553115707,false
0.016995185,0.6281900491502568,0.002301937,0.020848,0.07304862164332336,0.006494570287713097,0.0058470831563827265,false
0.228493987,0.5631294424973747,0.306564342,0.029184,0.1587235751044826,0.14468422795752384,0.04492031890181477,false
0.020895718,0.7387094669579585,0.157824156,0.04772,0.24517099020537508,0.12097500347100172,0.0034150064403639323,false
0.497543138,0.406206529914261,0.19853431,0.006,0.07638585726522021,0.002761664014261589,0.004828054895476752,true
0.9999999,0.34932573689304774,0.473129798,0.0224,0.10892796149808115,0.11231221744092852,0.28386704927780204,true
0.035799284,0.7619073214479997,0.050572519,0.004188,0.18172701654329418,7.907723503938202e-5,0.04385839508043956,false
1.078039342,0.5179838239347899,0.707342842,0.01514,0.13719502242772302,0.06371125842454141,0.10917639938015296,true
0.79494435,0.5230832068907995,1.212785902,0.021332,0.10072865521655697,0.19509010765446266,0.14884766790774595,true
